epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.3679,2.41948,4.52254,1.86978,0.55709,0.11373,0.11759,0.04566,2.24405,3.16981,1.77648,0.00012221,0.00012221,0.00012221
2,59.7892,1.85912,2.62703,1.50336,0.78055,0.16471,0.19626,0.1119,1.77689,2.31826,1.44979,0.000254687,0.000254687,0.000254687
3,88.8641,1.75956,2.27478,1.39402,0.38001,0.26239,0.1845,0.10616,1.79875,2.16443,1.4758,0.000386284,0.000386284,0.000386284
4,117.264,1.74772,2.08996,1.35988,0.44097,0.22959,0.21976,0.11462,1.80587,2.23607,1.43029,0.000517001,0.000517001,0.000517001
5,145.69,1.86684,2.08028,1.37268,0.46102,0.27486,0.24318,0.12906,1.87007,2.16037,1.45899,0.000646838,0.000646838,0.000646838
6,174.025,1.6999,1.92695,1.35203,0.42723,0.27807,0.29713,0.15076,1.80076,2.21905,1.45305,0.000775795,0.000775795,0.000775795
7,199.916,1.74405,1.77761,1.37428,0.37883,0.34127,0.27475,0.13993,1.80361,2.40122,1.52221,0.000903872,0.000903872,0.000903872
8,224.939,1.67882,1.78741,1.42463,0.62632,0.25102,0.27083,0.13232,1.857,2.23337,1.56001,0.00103107,0.00103107,0.00103107
9,250.078,1.70261,1.71771,1.38589,0.59993,0.27205,0.23628,0.11228,1.83783,2.26307,1.46644,0.00108167,0.00108167,0.00108167
10,275.223,1.73263,1.68016,1.42076,0.55998,0.25365,0.27017,0.12953,1.81302,1.96918,1.44527,0.001078,0.001078,0.001078
11,300.602,1.72818,1.56094,1.34321,0.56623,0.27356,0.27967,0.14745,1.72143,2.21019,1.41456,0.00107434,0.00107434,0.00107434
12,325.915,1.65428,1.50108,1.31688,0.49075,0.31768,0.28069,0.13728,1.72919,1.79191,1.47204,0.00107067,0.00107067,0.00107067
13,351.131,1.54424,1.4051,1.28505,0.57256,0.31256,0.35793,0.17443,1.73828,1.55563,1.3983,0.001067,0.001067,0.001067
14,376.731,1.69402,1.47505,1.36623,0.32473,0.302,0.33419,0.15989,1.78694,1.5854,1.42363,0.00106334,0.00106334,0.00106334
15,402.433,1.58749,1.41847,1.32597,0.5179,0.40831,0.40599,0.16035,1.82027,1.421,1.45183,0.00105967,0.00105967,0.00105967
16,428.807,1.58093,1.33092,1.34961,0.51201,0.38733,0.43691,0.1718,1.81918,1.41469,1.48683,0.00105601,0.00105601,0.00105601
17,455.036,1.57075,1.3595,1.29179,0.40712,0.47077,0.39708,0.16405,1.80797,1.50536,1.50359,0.00105234,0.00105234,0.00105234
18,480.571,1.56021,1.25199,1.3593,0.49725,0.38519,0.38119,0.16809,1.82645,1.52671,1.56754,0.00104867,0.00104867,0.00104867
19,507.237,1.5565,1.33167,1.37455,0.42678,0.47953,0.3831,0.17375,1.83122,1.53039,1.52829,0.00104501,0.00104501,0.00104501
20,533.799,1.55246,1.25163,1.30934,0.54545,0.50961,0.41797,0.17863,1.86485,1.37278,1.55631,0.00104134,0.00104134,0.00104134
21,558.516,1.43702,1.21443,1.25577,0.52249,0.48556,0.4598,0.19058,1.87284,1.46479,1.53277,0.00103767,0.00103767,0.00103767
22,583.523,1.55378,1.18841,1.30163,0.51155,0.43326,0.45757,0.18946,1.79279,1.37339,1.51687,0.00103401,0.00103401,0.00103401
23,609.258,1.53272,1.14302,1.30726,0.49539,0.54369,0.51872,0.22924,1.72041,1.29636,1.46582,0.00103034,0.00103034,0.00103034
24,635.263,1.46255,1.12123,1.25746,0.5416,0.53831,0.51165,0.23899,1.7224,1.31094,1.44655,0.00102668,0.00102668,0.00102668
25,661.003,1.47675,1.18066,1.30014,0.49154,0.43258,0.48952,0.22764,1.70009,1.26349,1.45805,0.00102301,0.00102301,0.00102301
26,686.169,1.47761,1.12246,1.23436,0.536,0.41155,0.44434,0.20427,1.75957,1.30885,1.47911,0.00101934,0.00101934,0.00101934
27,711.185,1.42614,1.13495,1.25492,0.37292,0.43405,0.41953,0.19695,1.85815,1.37863,1.53083,0.00101568,0.00101568,0.00101568
28,736.288,1.42238,1.10512,1.21427,0.34111,0.49537,0.43718,0.19358,1.92044,1.35432,1.55995,0.00101201,0.00101201,0.00101201
29,761.61,1.3835,1.067,1.22874,0.7652,0.31678,0.46081,0.1988,1.92945,1.37827,1.63715,0.00100834,0.00100834,0.00100834
30,787.072,1.44675,1.11935,1.25308,0.67081,0.40236,0.53282,0.21501,1.89038,1.30197,1.62102,0.00100468,0.00100468,0.00100468
31,812.276,1.39,1.06292,1.21365,0.56424,0.46128,0.50372,0.19552,1.91946,1.26453,1.60712,0.00100101,0.00100101,0.00100101
32,837.032,1.44656,1.11101,1.24973,0.52873,0.55686,0.52183,0.19821,1.86674,1.22752,1.57144,0.000997345,0.000997345,0.000997345
33,862.024,1.46035,1.04899,1.28182,0.60065,0.53929,0.54027,0.23898,1.72439,1.15095,1.47546,0.000993678,0.000993678,0.000993678
34,886.872,1.46167,1.02322,1.24221,0.62358,0.56358,0.54921,0.24816,1.73306,1.13596,1.48744,0.000990012,0.000990012,0.000990012
35,911.673,1.37538,0.93048,1.19841,0.67927,0.4836,0.505,0.24862,1.75955,1.16181,1.47382,0.000986346,0.000986346,0.000986346
36,936.397,1.37385,0.9644,1.21355,0.61042,0.50674,0.50935,0.23724,1.81121,1.20232,1.50234,0.000982679,0.000982679,0.000982679
37,960.963,1.37445,0.97498,1.19429,0.73582,0.47326,0.55149,0.24272,1.82992,1.14327,1.51008,0.000979013,0.000979013,0.000979013
38,985.528,1.3813,0.95909,1.20112,0.61735,0.56809,0.49915,0.22627,1.82643,1.1919,1.50279,0.000975347,0.000975347,0.000975347
39,1010.42,1.33996,0.95404,1.16297,0.57016,0.50645,0.51123,0.21325,1.82003,1.22149,1.48307,0.000971681,0.000971681,0.000971681
40,1035.23,1.41374,0.99155,1.22572,0.57606,0.53917,0.5509,0.23908,1.77865,1.09883,1.48895,0.000968014,0.000968014,0.000968014
41,1060.47,1.31852,0.9076,1.16157,0.56745,0.62547,0.61062,0.24171,1.6927,1.04001,1.46883,0.000964348,0.000964348,0.000964348
42,1085.67,1.31695,0.91727,1.16369,0.74173,0.49929,0.60522,0.25137,1.70032,1.06106,1.47842,0.000960682,0.000960682,0.000960682
43,1111.38,1.29357,0.92701,1.15773,0.63088,0.55183,0.58701,0.26141,1.67366,1.0364,1.44114,0.000957015,0.000957015,0.000957015
44,1138.18,1.23379,0.87657,1.12405,0.70368,0.55655,0.65598,0.27659,1.67753,1.00648,1.43967,0.000953349,0.000953349,0.000953349
45,1165.41,1.31849,0.96102,1.20894,0.53997,0.54307,0.56243,0.25786,1.73421,1.08665,1.48731,0.000949683,0.000949683,0.000949683
